id,WKT
1,"POLYGON((80.0000 40.0000,90.0000 40.0000,90.0000 30.0000,80.0000 30.0000,80.0000 40.0000))"
2,"POLYGON((90.0000 40.0000,100.0000 40.0000,100.0000 30.0000,90.0000 30.0000,90.0000 40.0000))"
3,"POLYGON((100.0000 40.0000,110.0000 40.0000,110.0000 30.0000,100.0000 30.0000,100.0000 40.0000))"
4,"POLYGON((110.0000 40.0000,120.0000 40.0000,120.0000 30.0000,110.0000 30.0000,110.0000 40.0000))"
5,"POLYGON((80.0000 30.0000,90.0000 30.0000,90.0000 20.0000,80.0000 20.0000,80.0000 30.0000))"
6,"POLYGON((90.0000 30.0000,100.0000 30.0000,100.0000 20.0000,90.0000 20.0000,90.0000 30.0000))"
7,"POLYGON((100.0000 30.0000,110.0000 30.0000,110.0000 20.0000,100.0000 20.0000,100.0000 30.0000))"
8,"POLYGON((110.0000 30.0000,120.0000 30.0000,120.0000 20.0000,110.0000 20.0000,110.0000 30.0000))"
9,"POLYGON((80.0000 20.0000,90.0000 20.0000,90.0000 10.0000,80.0000 10.0000,80.0000 20.0000))"
10,"POLYGON((90.0000 20.0000,100.0000 20.0000,100.0000 10.0000,90.0000 10.0000,90.0000 20.0000))"
11,"POLYGON((100.0000 20.0000,110.0000 20.0000,110.0000 10.0000,100.0000 10.0000,100.0000 20.0000))"
