SPECIES	Longitude	Latitude
Psilopogon_oorti 	101.7384	3.7164
Psilopogon_oorti 	97.0381	4.0770
Psilopogon_oorti 	101.7483	3.6927
Psilopogon_oorti 	101.3854	4.4072
Psilopogon_oorti 	101.7485	3.6929
Psilopogon_oorti 	96.5093	4.3633
Psilopogon_oorti 	101.7546	3.7211
Psilopogon_oorti 	100.6989	-0.0262
Psilopogon_oorti 	101.7325	3.7035
Psilopogon_oorti 	101.7331	3.7186
Psilopogon_oorti 	101.7346	3.7129
Psilopogon_oorti 	101.8396	3.4011
Psilopogon_oorti 	101.7481	3.7129
Psilopogon_oorti 	101.7239	3.7093
Psilopogon_oorti 	101.7373	3.7121
Psilopogon_oorti 	100.7720	4.9447
Psilopogon_oorti 	100.7500	4.7834
Psilopogon_oorti 	101.7391	3.7127
Psilopogon_oorti 	101.8776	3.2169
Psilopogon_oorti 	101.7413	3.7116
Psilopogon_oorti 	101.7411	3.7117
Psilopogon_oorti 	101.7365	3.7094
Psilopogon_oorti 	97.6563	3.6793
Psilopogon_oorti 	101.7322	3.7169
Psilopogon_oorti 	101.7653	3.3939
Psilopogon_oorti 	101.8420	3.4201
Psilopogon_oorti 	101.7527	3.7073
Psilopogon_oorti 	101.7334	3.7045
Psilopogon_oorti 	101.7471	3.7148
Psilopogon_oorti 	101.7346	3.7145
Psilopogon_oorti 	101.7503	3.7160
Psilopogon_oorti 	101.7671	3.3992
Psilopogon_oorti 	101.7360	3.7147
Psilopogon_oorti 	98.5263	3.2682
Psilopogon_oorti 	101.3391	4.3744
Psilopogon_oorti 	101.7378	3.7070
Psilopogon_oorti 	101.7244	3.7215
Psilopogon_oorti 	96.5148	4.3286
Psilopogon_oorti 	99.7029	0.6732
Psilopogon_oorti 	101.7295	3.7132
Psilopogon_oorti 	101.7868	3.3971
Psilopogon_oorti 	101.4483	-2.1407
Psilopogon_oorti 	101.3265	-2.0674
Psilopogon_oorti 	104.1081	-5.0898
Psilopogon_oorti 	101.7486	3.6938
Psilopogon_oorti 	101.7574	3.4213
Psilopogon_oorti 	101.3782	-1.7175
Psilopogon_oorti 	102.0060	2.7908
Psilopogon_oorti 	101.7354	3.7160
Psilopogon_oorti 	101.7484	3.7202
Psilopogon_oorti 	101.7864	3.3969
Psilopogon_oorti 	101.7476	3.6929
Psilopogon_oorti 	101.7411	3.7143
Psilopogon_oorti 	101.7836	3.4014
Psilopogon_oorti 	101.7332	3.7129
Psilopogon_oorti 	101.7380	3.7114
Psilopogon_oorti 	101.7372	3.7116
Psilopogon_oorti 	101.7370	3.7119
Psilopogon_oorti 	104.5631	-4.9740
Psilopogon_oorti 	101.7484	3.6825
Psilopogon_oorti 	101.7487	3.6918
Psilopogon_oorti 	101.7492	3.7163
Psilopogon_oorti 	101.7365	3.7156
Psilopogon_oorti 	102.0575	4.6789
Psilopogon_oorti 	101.8421	3.4200
Psilopogon_oorti 	96.5101	4.4215
Psilopogon_oorti 	101.7413	3.7118
Psilopogon_oorti 	101.7567	3.7204
Psilopogon_oorti 	101.8042	3.4232
Psilopogon_oorti 	101.8436	3.4171
Psilopogon_oorti 	101.7367	3.7114
Psilopogon_oorti 	104.4162	-5.6687
Psilopogon_oorti 	101.7614	3.7176
Psilopogon_oorti 	101.2597	-1.7483
Psilopogon_oorti 	101.5311	-2.3158
Psilopogon_oorti 	101.7411	3.7117
Psilopogon_oorti 	101.7407	3.7113
Psilopogon_oorti 	101.7364	3.7155
Psilopogon_oorti 	101.3209	-2.0331
Psilopogon_oorti 	96.8072	4.7359
Psilopogon_oorti 	101.7356	3.7130
Psilopogon_oorti 	102.4024	4.3863
Psilopogon_oorti 	101.7493	3.7216
Psilopogon_oorti 	101.8375	3.3914
Psilopogon_oorti 	101.7364	3.7119
Psilopogon_oorti 	98.4939	3.1838
Psilopogon_oorti 	101.0621	-2.1685
Psilopogon_oorti 	101.7368	3.7148
Psilopogon_oorti 	101.7385	3.7162
Psilopogon_oorti 	101.8437	3.3895
Psilopogon_oorti 	101.7521	3.7172
Psilopogon_oorti 	101.4621	-2.1721
Psilopogon_oorti 	101.7392	3.7121
Psilopogon_oorti 	101.7382	3.7139
Psilopogon_oorti 	101.7387	3.7108
Psilopogon_oorti 	101.7391	3.7168
Psilopogon_oorti 	100.1427	-0.2147
Psilopogon_oorti 	101.7698	3.3970
Psilopogon_oorti 	101.7855	3.3956
Psilopogon_oorti 	101.7438	3.7152
Psilopogon_oorti 	101.7528	3.7169
Psilopogon_oorti 	101.7792	3.3951
Psilopogon_oorti 	102.3554	4.3133
Psilopogon_oorti 	101.2602	-1.7439
Psilopogon_oorti 	101.8421	3.4194
Psilopogon_oorti 	101.7488	3.6923
Psilopogon_oorti 	101.7246	3.7101
Psilopogon_oorti 	100.2447	-0.2704
Psilopogon_oorti 	101.5321	-2.3177
Psilopogon_oorti 	101.2166	-1.7590
Psilopogon_oorti 	101.7376	3.7117
Psilopogon_oorti 	101.7582	3.7188
Psilopogon_oorti 	101.8485	5.7467
Psilopogon_oorti 	101.7361	3.7098
Psilopogon_oorti 	96.4587	4.2895
Psilopogon_oorti 	101.7295	3.7202
Psilopogon_oorti 	96.9421	4.5616
Psilopogon_oorti 	101.7478	3.7022
Psilopogon_oorti 	101.7518	3.7062
Psilopogon_oorti 	101.7504	3.7159
Psilopogon_oorti 	101.7384	3.7177
Psilopogon_oorti 	98.7939	2.6417
Psilopogon_oorti 	101.7387	3.7162
Psilopogon_oorti 	101.7367	3.7093
Psilopogon_oorti 	101.7275	3.7119
Psilopogon_oorti 	101.7837	3.4006
Psilopogon_oorti 	101.7334	3.7120
Psilopogon_oorti 	101.7368	3.7165
Psilopogon_oorti 	101.7401	3.7099
Psilopogon_oorti 	101.7369	3.7165
Psilopogon_oorti 	98.4833	2.8180
Psilopogon_oorti 	101.7355	3.7132
Psilopogon_oorti 	101.7335	3.7121
Psilopogon_oorti 	101.7384	3.7129
Psilopogon_oorti 	101.7466	3.6934
Psilopogon_oorti 	101.3045	-2.0560
Psilopogon_oorti 	96.5107	4.4158
Psilopogon_oorti 	101.7394	3.7123
Psilopogon_oorti 	101.7368	3.7152
Psilopogon_oorti 	97.7066	3.3640
Psilopogon_oorti 	96.5096	4.3435
Psilopogon_oorti 	101.7374	3.7142
Psilopogon_oorti 	101.8257	3.7566
Psilopogon_oorti 	101.7370	3.7093
Psilopogon_oorti 	98.1132	3.5428
Psilopogon_oorti 	101.8591	3.3782
Psilopogon_oorti 	99.5698	0.8112
Psilopogon_oorti 	101.7808	3.3991
Psilopogon_oorti 	101.7321	3.7163
Psilopogon_oorti 	101.7370	3.7118
Psilopogon_oorti 	101.7380	3.7115
Psilopogon_oorti 	101.7473	3.7146
Psilopogon_oorti 	101.7451	3.6953
Psilopogon_oorti 	101.7318	3.7151
Psilopogon_oorti 	101.7147	3.7250
Psilopogon_oorti 	101.7406	3.7144
Psilopogon_oorti 	102.0056	2.8466
Psilopogon_oorti 	101.7492	3.7048
Psilopogon_oorti 	101.8435	3.4191
Psilopogon_oorti 	101.7288	3.7127
Psilopogon_oorti 	102.4303	4.3965
Psilopogon_oorti 	101.7386	3.7151
Psilopogon_oorti 	101.7367	3.7168
Psilopogon_oorti 	101.7416	3.7120
Psilopogon_oorti 	101.7856	3.3963
Psilopogon_oorti 	101.7391	3.7105
Psilopogon_oorti 	101.7486	3.6924
Psilopogon_oorti 	95.6603	5.4486
Psilopogon_oorti 	97.6784	3.6522
Psilopogon_oorti 	101.8437	3.4184
Psilopogon_oorti 	101.3245	4.5745
Psilopogon_oorti 	101.7460	3.6930
Psilopogon_oorti 	102.1991	3.5190
Psilopogon_oorti 	98.7589	2.8360
Psilopogon_oorti 	101.7483	3.6917
Psilopogon_oorti 	96.5101	4.4216
Psilopogon_oorti 	101.7299	3.7183
Psilopogon_oorti 	101.7336	3.7143
Psilopogon_oorti 	96.5167	4.3332
Psilopogon_oorti 	102.0187	2.8425
Psilopogon_oorti 	101.7586	3.7150
Psilopogon_oorti 	103.3058	-4.2575
Psilopogon_oorti 	101.7360	3.7099
Psilopogon_oorti 	101.7412	3.7192
Psilopogon_oorti 	101.7477	3.7198
Psilopogon_oorti 	101.7380	3.7118
Psilopogon_oorti 	101.7384	3.7114
Psilopogon_oorti 	98.7868	2.7360
Psilopogon_oorti 	101.7848	3.3967
Psilopogon_oorti 	101.7299	3.7135
Psilopogon_oorti 	96.7541	4.6183
Psilopogon_oorti 	101.7325	3.7131
Psilopogon_oorti 	101.8773	3.2178
Psilopogon_oorti 	101.7173	3.7239
Psilopogon_oorti 	101.5328	-2.2895
Psilopogon_oorti 	101.8399	3.4069
Psilopogon_oorti 	101.7285	3.7200
Psilopogon_oorti 	101.7372	3.7120
Psilopogon_oorti 	96.5440	4.4720
Psilopogon_oorti 	101.7375	3.7166
Psilopogon_oorti 	101.7710	3.4002
Psilopogon_oorti 	101.1189	-2.2214
Psilopogon_oorti 	100.7932	4.8624
Psilopogon_oorti 	101.2840	-2.0640
Psilopogon_oorti 	96.8492	4.5373
Psilopogon_oorti 	101.7360	3.7098
Psilopogon_oorti 	101.7857	3.3963
Psilopogon_oorti 	101.3798	5.9054
Psilopogon_oorti 	101.7365	3.7119
Psilopogon_oorti 	101.7486	3.6926
Psilopogon_oorti 	101.7386	3.7161
Psilopogon_oorti 	100.2248	-0.3308
Psilopogon_oorti 	101.4800	-2.4163
Psilopogon_oorti 	101.7365	3.7121
Psilopogon_oorti 	101.7335	3.7129
Psilopogon_oorti 	101.7366	3.7114
Psilopogon_oorti 	100.7981	4.8638
Psilopogon_oorti 	101.7294	3.7181
Psilopogon_oorti 	96.5176	4.3823
Psilopogon_oorti 	101.7407	3.7168
Psilopogon_oorti 	101.7494	3.7225
Psilopogon_oorti 	98.5118	3.1888
Psilopogon_oorti 	101.7374	3.7145
Psilopogon_oorti 	104.3516	-5.4485
Psilopogon_oorti 	103.3108	-4.2364
Psilopogon_oorti 	101.7346	3.7162
Psilopogon_oorti 	101.8392	3.4041
Psilopogon_oorti 	101.8428	3.3980
Psilopogon_oorti 	101.3680	4.4536
Psilopogon_oorti 	99.5125	0.7084
Psilopogon_oorti 	101.7371	3.7131
Psilopogon_oorti 	101.7471	3.7149
Psilopogon_oorti 	101.7365	3.7114
Psilopogon_oorti 	101.7325	3.7153
Psilopogon_oorti 	101.7451	3.7193
Psilopogon_oorti 	101.7387	3.7164
Psilopogon_oorti 	101.9498	4.0147
Psilopogon_oorti 	101.7391	3.7081
Psilopogon_oorti 	101.3808	4.4065
Psilopogon_oorti 	101.7611	3.3298
Psilopogon_oorti 	101.7361	3.7103
Psilopogon_oorti 	101.7546	3.7114
Psilopogon_oorti 	101.7404	3.6497
Psilopogon_oorti 	101.7386	3.7164
Psilopogon_oorti 	104.1128	-5.0682
Psilopogon_oorti 	101.7464	3.7116
Psilopogon_oorti 	101.3917	4.5083
Psilopogon_oorti 	101.7483	3.7166
Psilopogon_oorti 	97.2527	3.9790
Psilopogon_oorti 	101.7396	3.7078
Psilopogon_oorti 	101.7377	3.7142
Psilopogon_oorti 	101.7486	3.6926
Psilopogon_oorti 	97.2556	3.9751
Psilopogon_oorti 	101.7549	3.7213
Psilopogon_oorti 	101.7399	3.7180
Psilopogon_oorti 	101.7375	3.7144
Psilopogon_oorti 	101.7294	3.7183
Psilopogon_oorti 	101.7360	3.7142
Psilopogon_oorti 	101.6400	3.5531
Psilopogon_oorti 	96.1448	4.2043
Psilopogon_oorti 	101.4560	-2.1831
Psilopogon_oorti 	101.7350	3.7135
Psilopogon_oorti 	101.8354	3.3908
Psilopogon_oorti 	101.7818	3.3998
Psilopogon_oorti 	101.4510	-2.1816
Psilopogon_oorti 	101.7360	3.7162
Psilopogon_oorti 	101.7507	3.7163
Psilopogon_oorti 	101.7906	3.4014
Psilopogon_oorti 	98.5213	3.2300
Psilopogon_oorti 	101.7371	3.7156
Psilopogon_oorti 	101.7446	3.7107
Psilopogon_oorti 	101.7268	3.7115
Psilopogon_oorti 	101.7359	3.7152
Psilopogon_oorti 	101.7414	3.7112
Psilopogon_oorti 	101.7324	3.7164
Psilopogon_oorti 	101.7365	3.7117
Psilopogon_oorti 	101.7481	3.7016
Psilopogon_oorti 	98.9843	2.7650
Psilopogon_oorti 	101.7366	3.7119
Psilopogon_oorti 	101.7360	3.7123
Psilopogon_oorti 	101.7416	3.7153
Psilopogon_oorti 	101.7717	3.3831
Psilopogon_oorti 	96.5177	4.3904
Psilopogon_oorti 	101.5398	-2.2664
Psilopogon_oorti 	101.7381	3.7117
Psilopogon_oorti 	101.8163	3.1123
Psilopogon_oorti 	97.2579	3.7870
Psilopogon_oorti 	96.8550	4.6025
Psilopogon_oorti 	101.8788	3.2201
Psilopogon_oorti 	96.4593	4.2892
