id,WKT
1,"POLYGON((117.5000 22.5000,120.0000 22.5000,120.0000 20.0000,117.5000 20.0000,117.5000 22.5000))"
2,"POLYGON((120.0000 22.5000,122.5000 22.5000,122.5000 20.0000,120.0000 20.0000,120.0000 22.5000))"
3,"POLYGON((122.5000 22.5000,125.0000 22.5000,125.0000 20.0000,122.5000 20.0000,122.5000 22.5000))"
4,"POLYGON((117.5000 20.0000,120.0000 20.0000,120.0000 17.5000,117.5000 17.5000,117.5000 20.0000))"
5,"POLYGON((120.0000 20.0000,122.5000 20.0000,122.5000 17.5000,120.0000 17.5000,120.0000 20.0000))"
6,"POLYGON((122.5000 20.0000,125.0000 20.0000,125.0000 17.5000,122.5000 17.5000,122.5000 20.0000))"
7,"POLYGON((117.5000 17.5000,120.0000 17.5000,120.0000 15.0000,117.5000 15.0000,117.5000 17.5000))"
8,"POLYGON((120.0000 17.5000,122.5000 17.5000,122.5000 15.0000,120.0000 15.0000,120.0000 17.5000))"
9,"POLYGON((122.5000 17.5000,125.0000 17.5000,125.0000 15.0000,122.5000 15.0000,122.5000 17.5000))"
10,"POLYGON((125.0000 17.5000,127.5000 17.5000,127.5000 15.0000,125.0000 15.0000,125.0000 17.5000))"
11,"POLYGON((117.5000 15.0000,120.0000 15.0000,120.0000 12.5000,117.5000 12.5000,117.5000 15.0000))"
12,"POLYGON((120.0000 15.0000,122.5000 15.0000,122.5000 12.5000,120.0000 12.5000,120.0000 15.0000))"
13,"POLYGON((122.5000 15.0000,125.0000 15.0000,125.0000 12.5000,122.5000 12.5000,122.5000 15.0000))"
14,"POLYGON((125.0000 15.0000,127.5000 15.0000,127.5000 12.5000,125.0000 12.5000,125.0000 15.0000))"
15,"POLYGON((117.5000 12.5000,120.0000 12.5000,120.0000 10.0000,117.5000 10.0000,117.5000 12.5000))"
16,"POLYGON((120.0000 12.5000,122.5000 12.5000,122.5000 10.0000,120.0000 10.0000,120.0000 12.5000))"
17,"POLYGON((122.5000 12.5000,125.0000 12.5000,125.0000 10.0000,122.5000 10.0000,122.5000 12.5000))"
18,"POLYGON((125.0000 12.5000,127.5000 12.5000,127.5000 10.0000,125.0000 10.0000,125.0000 12.5000))"
19,"POLYGON((120.0000 10.0000,122.5000 10.0000,122.5000 7.5000,120.0000 7.5000,120.0000 10.0000))"
20,"POLYGON((122.5000 10.0000,125.0000 10.0000,125.0000 7.5000,122.5000 7.5000,122.5000 10.0000))"
21,"POLYGON((125.0000 10.0000,127.5000 10.0000,127.5000 7.5000,125.0000 7.5000,125.0000 10.0000))"
22,"POLYGON((120.0000 7.5000,122.5000 7.5000,122.5000 5.0000,120.0000 5.0000,120.0000 7.5000))"
23,"POLYGON((122.5000 7.5000,125.0000 7.5000,125.0000 5.0000,122.5000 5.0000,122.5000 7.5000))"
24,"POLYGON((125.0000 7.5000,127.5000 7.5000,127.5000 5.0000,125.0000 5.0000,125.0000 7.5000))"
