SPECIES	Longitude	Latitude
Phapitreron_amethystinus 	121.0543	16.9555
Phapitreron_amethystinus 	121.9158	17.5528
Phapitreron_amethystinus 	121.8710	17.8890
Phapitreron_amethystinus 	121.3093	14.7953
Phapitreron_amethystinus 	121.9149	17.5552
Phapitreron_amethystinus 	123.9667	13.0561
Phapitreron_amethystinus 	125.2110	11.8584
Phapitreron_amethystinus 	121.1766	14.6221
Phapitreron_amethystinus 	121.9502	17.5541
Phapitreron_amethystinus 	121.8908	17.6110
Phapitreron_amethystinus 	126.2183	6.7836
Phapitreron_amethystinus 	121.3192	15.5283
Phapitreron_amethystinus 	124.9087	10.7800
Phapitreron_amethystinus 	121.4981	14.5695
Phapitreron_amethystinus 	126.2525	7.1375
Phapitreron_amethystinus 	124.4849	6.5060
Phapitreron_amethystinus 	121.5134	14.5800
Phapitreron_amethystinus 	123.1902	9.2724
Phapitreron_amethystinus 	121.5827	15.7147
Phapitreron_amethystinus 	124.1350	9.7090
Phapitreron_amethystinus 	125.3795	7.0083
Phapitreron_amethystinus 	121.0823	16.7569
Phapitreron_amethystinus 	125.3858	7.0256
Phapitreron_amethystinus 	121.4682	15.4995
Phapitreron_amethystinus 	126.3625	8.0061
Phapitreron_amethystinus 	121.6873	13.9591
Phapitreron_amethystinus 	120.6578	14.2327
Phapitreron_amethystinus 	121.5216	14.5993
Phapitreron_amethystinus 	125.2710	6.9875
Phapitreron_amethystinus 	125.2526	7.0437
Phapitreron_amethystinus 	124.0840	9.7208
Phapitreron_amethystinus 	120.3210	14.6832
Phapitreron_amethystinus 	120.5545	16.4344
Phapitreron_amethystinus 	121.5034	14.5731
Phapitreron_amethystinus 	125.3876	6.8239
Phapitreron_amethystinus 	125.2741	11.8285
Phapitreron_amethystinus 	125.1595	11.8122
Phapitreron_amethystinus 	125.2931	11.8244
Phapitreron_amethystinus 	121.4840	14.5434
Phapitreron_amethystinus 	124.4567	8.2259
Phapitreron_amethystinus 	124.2726	6.4932
Phapitreron_amethystinus 	126.1440	8.3067
Phapitreron_amethystinus 	124.0929	9.7164
Phapitreron_amethystinus 	121.3183	15.6754
Phapitreron_amethystinus 	121.8318	17.6252
Phapitreron_amethystinus 	126.3579	8.1408
Phapitreron_amethystinus 	124.3468	6.5630
Phapitreron_amethystinus 	121.2340	14.1546
Phapitreron_amethystinus 	123.1918	9.3377
Phapitreron_amethystinus 	126.3772	7.2899
Phapitreron_amethystinus 	124.1586	9.7691
Phapitreron_amethystinus 	125.1617	11.8129
Phapitreron_amethystinus 	125.2111	11.8583
Phapitreron_amethystinus 	125.6563	9.1097
Phapitreron_amethystinus 	120.3017	14.7583
Phapitreron_amethystinus 	121.8289	17.6061
Phapitreron_amethystinus 	122.0135	7.0448
Phapitreron_amethystinus 	126.3234	8.1967
